measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Testicular cancer,Rate,2006,0.128781277,0.141667477,0.122279308
Deaths,Global,Both,All ages,Testicular cancer,Rate,2007,0.128862074,0.141622743,0.122517542
Deaths,Global,Both,All ages,Testicular cancer,Rate,2005,0.129131623,0.142223517,0.122301731
Deaths,Global,Both,All ages,Testicular cancer,Rate,2004,0.129331401,0.14127052,0.122860795
Deaths,Global,Both,All ages,Testicular cancer,Rate,2003,0.129441765,0.141621942,0.12259937
Deaths,Global,Both,All ages,Testicular cancer,Rate,2008,0.129472541,0.143345547,0.122808952
Deaths,Global,Both,All ages,Testicular cancer,Rate,2002,0.130110349,0.142345555,0.123366084
Deaths,Global,Both,All ages,Testicular cancer,Rate,2009,0.130396116,0.143852242,0.123858712
Deaths,Global,Both,All ages,Testicular cancer,Rate,2010,0.130704746,0.144048665,0.124374297
Deaths,Global,Both,All ages,Testicular cancer,Rate,2001,0.130807485,0.142441384,0.123739555
Deaths,Global,Both,All ages,Testicular cancer,Rate,2011,0.131149643,0.144317552,0.124876822
Deaths,Global,Both,All ages,Testicular cancer,Rate,1993,0.131475504,0.143975099,0.124019513
Deaths,Global,Both,All ages,Testicular cancer,Rate,1994,0.131564694,0.145075981,0.123963327
Deaths,Global,Both,All ages,Testicular cancer,Rate,1998,0.131654363,0.143308272,0.124893968
Deaths,Global,Both,All ages,Testicular cancer,Rate,1995,0.131697087,0.145234243,0.124484519
Deaths,Global,Both,All ages,Testicular cancer,Rate,1997,0.131726007,0.143089369,0.124782343
Deaths,Global,Both,All ages,Testicular cancer,Rate,1996,0.131815747,0.144378146,0.124789673
Deaths,Global,Both,All ages,Testicular cancer,Rate,2012,0.132063269,0.144611923,0.125434318
Deaths,Global,Both,All ages,Testicular cancer,Rate,1999,0.132211161,0.144323644,0.125235195
Deaths,Global,Both,All ages,Testicular cancer,Rate,2000,0.132226729,0.144735123,0.125176613
Deaths,Global,Both,All ages,Testicular cancer,Rate,1992,0.132266191,0.144081808,0.124714777
Deaths,Global,Both,All ages,Testicular cancer,Rate,2013,0.132944675,0.144563519,0.126432428
Deaths,Global,Both,All ages,Testicular cancer,Rate,1991,0.133438486,0.14552653,0.125605174
Deaths,Global,Both,All ages,Testicular cancer,Rate,2014,0.134480768,0.145137394,0.127933917
Deaths,Global,Both,All ages,Testicular cancer,Rate,1990,0.135035123,0.147779019,0.126960496
Deaths,Global,Both,All ages,Testicular cancer,Rate,2015,0.135624667,0.146203465,0.129022235
Deaths,Global,Both,All ages,Testicular cancer,Rate,2016,0.13666547,0.146971722,0.128706522
Deaths,Global,Both,All ages,Testicular cancer,Rate,2017,0.137673954,0.148739625,0.129125816
Deaths,Global,Both,All ages,Testicular cancer,Rate,2018,0.139132438,0.152760702,0.129360836
