measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,2,Female,22,All ages,487,Leukemia,3,Rate,1991,4.51468964936599,5.168706487535948,3.8470272864905777
1,Deaths,1,Global,2,Female,22,All ages,490,Other neoplasms,3,Rate,1991,0.38343492417964126,0.47554952790109284,0.33481347421262825
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1990,3.9504878539837063,4.419900580772221,2.8653932612394066
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,3,Rate,1990,11.558897947104446,12.385829161550241,10.702503197880255
1,Deaths,1,Global,2,Female,22,All ages,417,Liver cancer,3,Rate,1990,4.300242450567646,4.921462642497054,3.7708575617172015
1,Deaths,1,Global,2,Female,22,All ages,423,Larynx cancer,3,Rate,1992,0.4353484148071512,0.4640731958652566,0.4022036587327263
1,Deaths,1,Global,2,Female,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,1992,10.676659453696882,11.273602194350811,10.093819489202275
1,Deaths,1,Global,2,Female,22,All ages,429,Breast cancer,3,Rate,1992,14.335575665133646,14.909403868351164,13.709733254668109
1,Deaths,1,Global,2,Female,22,All ages,432,Cervical cancer,3,Rate,1992,6.879928536151318,8.298008954408122,6.1646568943334445
1,Deaths,1,Global,2,Female,22,All ages,435,Uterine cancer,3,Rate,1992,2.1105950133695264,2.264454257254821,1.918464698632248
1,Deaths,1,Global,2,Female,22,All ages,441,Colon and rectum cancer,3,Rate,1992,9.91109733333328,10.449833154202508,9.32783388553078
1,Deaths,1,Global,2,Female,22,All ages,444,Lip and oral cavity cancer,3,Rate,1992,1.1413983295442394,1.233165724802258,1.050405947000269
1,Deaths,1,Global,2,Female,22,All ages,447,Nasopharynx cancer,3,Rate,1992,0.6807390029510966,0.7566033204521322,0.5922595812262283
1,Deaths,1,Global,2,Female,22,All ages,450,Other pharynx cancer,3,Rate,1992,0.47033417329729266,0.5396605495202343,0.40834575095374637
1,Deaths,1,Global,2,Female,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1992,2.2511112690059933,2.6260419707339664,1.9455981396033197
1,Deaths,1,Global,2,Female,22,All ages,456,Pancreatic cancer,3,Rate,1992,3.6788220630278485,3.8122596461171177,3.4763658897402263
1,Deaths,1,Global,2,Female,22,All ages,459,Malignant skin melanoma,3,Rate,1992,0.5905549001391938,0.8152934663779664,0.48982134136716937
1,Deaths,1,Global,2,Female,22,All ages,462,Non-melanoma skin cancer,3,Rate,1992,0.364609269224859,0.39212272093898815,0.33298674521872557
1,Deaths,1,Global,2,Female,22,All ages,465,Ovarian cancer,3,Rate,1992,3.71358043174069,4.159912826320786,3.4595916667738567
1,Deaths,1,Global,2,Female,22,All ages,1022,Other malignant neoplasms,3,Rate,1991,4.149257215468044,4.454864273331073,3.8714448894729117
1,Deaths,1,Global,2,Female,22,All ages,471,Kidney cancer,3,Rate,1992,1.1061997350368942,1.1440782159458889,1.0554709230528283
1,Deaths,1,Global,2,Female,22,All ages,474,Bladder cancer,3,Rate,1992,1.2692556290409098,1.3587065031988168,1.1699252935477542
1,Deaths,1,Global,2,Female,22,All ages,477,Brain and central nervous system cancer,3,Rate,1992,2.3014687341231355,2.9493124950322462,1.9117350924989798
1,Deaths,1,Global,2,Female,22,All ages,480,Thyroid cancer,3,Rate,1992,0.5848043242689913,0.6578981767672673,0.5354772495688446
1,Deaths,1,Global,2,Female,22,All ages,483,Mesothelioma,3,Rate,1992,0.19021354966788784,0.24234676906457894,0.13995579316864157
1,Deaths,1,Global,2,Female,22,All ages,484,Hodgkin lymphoma,3,Rate,1992,0.37237656953722115,0.418802771293923,0.2647299198343946
1,Deaths,1,Global,2,Female,22,All ages,485,Non-Hodgkin lymphoma,3,Rate,1992,2.161394270553302,2.280884606652278,2.0275215320139597
1,Deaths,1,Global,2,Female,22,All ages,486,Multiple myeloma,3,Rate,1992,1.0067080548311365,1.1727361318175702,0.9059191502623735
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1993,4.038098258078253,4.49274911382797,2.854538503466724
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,3,Rate,1993,11.259885727691445,12.036012055957555,10.544972374398816
1,Deaths,1,Global,2,Female,22,All ages,417,Liver cancer,3,Rate,1993,4.531273335911298,5.066337751330406,4.06919148852613
1,Deaths,1,Global,2,Female,22,All ages,487,Leukemia,3,Rate,1990,4.556937504269539,5.252081504350482,3.8504093112759255
1,Deaths,1,Global,2,Female,22,All ages,490,Other neoplasms,3,Rate,1990,0.3786600881440146,0.47797201292372665,0.3292009218672344
1,Deaths,1,Global,2,Female,22,All ages,1022,Other malignant neoplasms,3,Rate,1990,4.146046281086537,4.464232943660015,3.873217769955249
1,Deaths,1,Global,2,Female,22,All ages,487,Leukemia,3,Rate,1998,4.332649246955435,4.827314202956032,3.803476728495623
1,Deaths,1,Global,2,Female,22,All ages,490,Other neoplasms,3,Rate,1998,0.4312567804844529,0.48997830264557485,0.3797748127583393
1,Deaths,1,Global,2,Female,22,All ages,487,Leukemia,3,Rate,1994,4.452586727639145,5.038575887711644,3.888888784006439
1,Deaths,1,Global,2,Female,22,All ages,490,Other neoplasms,3,Rate,1994,0.40270523858648377,0.48195436308989764,0.3529412374821873
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1996,3.997427814176004,4.404213211687235,2.793527207118259
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,3,Rate,1996,10.678870686009532,11.3808378756429,10.036943973181485
1,Deaths,1,Global,2,Female,22,All ages,417,Liver cancer,3,Rate,1996,4.70544800619228,5.147096795298762,4.33072382335313
1,Deaths,1,Global,2,Female,22,All ages,423,Larynx cancer,3,Rate,1999,0.4215158914784148,0.4453475452075378,0.3935961361136948
1,Deaths,1,Global,2,Female,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,1999,12.07890783025402,12.710755475945081,11.408687754287243
1,Deaths,1,Global,2,Female,22,All ages,429,Breast cancer,3,Rate,1999,15.0922411889137,15.665806721141239,14.431011392897666
1,Deaths,1,Global,2,Female,22,All ages,432,Cervical cancer,3,Rate,1999,6.822324191328702,8.229262007615002,6.161009851920843
1,Deaths,1,Global,2,Female,22,All ages,435,Uterine cancer,3,Rate,1999,2.170482552977462,2.3001372430278115,1.9491294554610643
1,Deaths,1,Global,2,Female,22,All ages,441,Colon and rectum cancer,3,Rate,1999,10.467628153185835,10.947335075159414,9.79742488382949
1,Deaths,1,Global,2,Female,22,All ages,444,Lip and oral cavity cancer,3,Rate,1999,1.277496479141599,1.3874842551334572,1.1798816358897966
1,Deaths,1,Global,2,Female,22,All ages,447,Nasopharynx cancer,3,Rate,1999,0.6348337042267372,0.6868912436780453,0.5715011297664518
1,Deaths,1,Global,2,Female,22,All ages,450,Other pharynx cancer,3,Rate,1999,0.5147206941112457,0.5702581349981592,0.4587271369347563
1,Deaths,1,Global,2,Female,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1999,2.2535135505075665,2.604573732068875,1.933402292340951
1,Deaths,1,Global,2,Female,22,All ages,456,Pancreatic cancer,3,Rate,1999,4.134219314788902,4.286090778122271,3.8837406957831027
1,Deaths,1,Global,2,Female,22,All ages,459,Malignant skin melanoma,3,Rate,1999,0.6260099645691279,0.806749478467877,0.48899175266178746
1,Deaths,1,Global,2,Female,22,All ages,462,Non-melanoma skin cancer,3,Rate,1999,0.3950331683444525,0.41878991818048794,0.3560265804042552
1,Deaths,1,Global,2,Female,22,All ages,465,Ovarian cancer,3,Rate,1999,3.9527488391791894,4.32635094494029,3.7046656021073527
1,Deaths,1,Global,2,Female,22,All ages,471,Kidney cancer,3,Rate,1999,1.1771554107794806,1.2224614023539746,1.114164539501108
1,Deaths,1,Global,2,Female,22,All ages,474,Bladder cancer,3,Rate,1999,1.3264342680405763,1.4020325372519937,1.2242549386907815
1,Deaths,1,Global,2,Female,22,All ages,477,Brain and central nervous system cancer,3,Rate,1999,2.4478647463129724,2.884174117757131,1.9459278425034854
1,Deaths,1,Global,2,Female,22,All ages,480,Thyroid cancer,3,Rate,1999,0.6050562086336578,0.6564724242911015,0.5503149530823462
1,Deaths,1,Global,2,Female,22,All ages,487,Leukemia,3,Rate,1992,4.475439288513572,5.123744270656731,3.8546639039187345
1,Deaths,1,Global,2,Female,22,All ages,490,Other neoplasms,3,Rate,1992,0.3894300833383355,0.4757380757181597,0.34179319028711574
1,Deaths,1,Global,2,Female,22,All ages,423,Larynx cancer,3,Rate,1995,0.4277369185849573,0.4535982898723013,0.39834647760149205
1,Deaths,1,Global,2,Female,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,1995,11.278774244808275,11.954024230845471,10.577608016310212
1,Deaths,1,Global,2,Female,22,All ages,429,Breast cancer,3,Rate,1995,14.830616047609098,15.389014936275395,14.22605849564804
1,Deaths,1,Global,2,Female,22,All ages,432,Cervical cancer,3,Rate,1995,6.823924509587088,8.30283814362841,6.154263235416492
1,Deaths,1,Global,2,Female,22,All ages,435,Uterine cancer,3,Rate,1995,2.1341839278108785,2.2822916274653062,1.9490201686531274
1,Deaths,1,Global,2,Female,22,All ages,441,Colon and rectum cancer,3,Rate,1995,10.161060925201202,10.637589752205608,9.550096500544981
1,Deaths,1,Global,2,Female,22,All ages,444,Lip and oral cavity cancer,3,Rate,1995,1.2014813153455228,1.2950358397968151,1.1083029187441502
1,Deaths,1,Global,2,Female,22,All ages,447,Nasopharynx cancer,3,Rate,1995,0.6604555129278403,0.7218989192145459,0.5872600770359188
1,Deaths,1,Global,2,Female,22,All ages,450,Other pharynx cancer,3,Rate,1995,0.4799455566611348,0.5393719066323697,0.4259001683728961
1,Deaths,1,Global,2,Female,22,All ages,1022,Other malignant neoplasms,3,Rate,1998,4.20270625270403,4.476154500508368,3.925746111756285
1,Deaths,1,Global,2,Female,22,All ages,1022,Other malignant neoplasms,3,Rate,1992,4.156714842079112,4.446732292381564,3.8968366503316925
1,Deaths,1,Global,2,Female,22,All ages,423,Larynx cancer,3,Rate,1990,0.434045069809115,0.4623442475378293,0.4014485449486941
1,Deaths,1,Global,2,Female,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,1990,10.330594715982787,10.915926958595103,9.690602773512772
1,Deaths,1,Global,2,Female,22,All ages,429,Breast cancer,3,Rate,1990,14.119058419379682,14.714060881082162,13.51522687719312
1,Deaths,1,Global,2,Female,22,All ages,432,Cervical cancer,3,Rate,1990,6.9472987528457475,8.24299708537092,6.205939417212814
1,Deaths,1,Global,2,Female,22,All ages,435,Uterine cancer,3,Rate,1990,2.1132486349231336,2.2664259860401814,1.9240211514431402
1,Deaths,1,Global,2,Female,22,All ages,441,Colon and rectum cancer,3,Rate,1990,9.819518735750163,10.364952018112213,9.207593568361789
1,Deaths,1,Global,2,Female,22,All ages,444,Lip and oral cavity cancer,3,Rate,1990,1.1156557731137424,1.1988866156967641,1.0279024202796951
1,Deaths,1,Global,2,Female,22,All ages,447,Nasopharynx cancer,3,Rate,1990,0.6907516334647091,0.7802981197278633,0.5861444894104768
1,Deaths,1,Global,2,Female,22,All ages,450,Other pharynx cancer,3,Rate,1990,0.46231887698708096,0.5321813204206368,0.39916178766748617
1,Deaths,1,Global,2,Female,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,2.259793527287666,2.642365094086768,1.9296592329859448
1,Deaths,1,Global,2,Female,22,All ages,456,Pancreatic cancer,3,Rate,1990,3.566853269922122,3.696537918640093,3.3629156542502003
1,Deaths,1,Global,2,Female,22,All ages,459,Malignant skin melanoma,3,Rate,1990,0.5820187626697674,0.8164661646463325,0.48732272889806966
1,Deaths,1,Global,2,Female,22,All ages,462,Non-melanoma skin cancer,3,Rate,1990,0.35865613738280333,0.38986499901051697,0.32683892510589935
1,Deaths,1,Global,2,Female,22,All ages,465,Ovarian cancer,3,Rate,1990,3.665651292495079,4.132407106753542,3.377244802751247
1,Deaths,1,Global,2,Female,22,All ages,471,Kidney cancer,3,Rate,1990,1.0781115770865228,1.1166950257521735,1.0256514859383086
1,Deaths,1,Global,2,Female,22,All ages,474,Bladder cancer,3,Rate,1990,1.256580655029992,1.3494693678534022,1.1542650127840726
1,Deaths,1,Global,2,Female,22,All ages,477,Brain and central nervous system cancer,3,Rate,1990,2.281459759414217,3.006304712181532,1.8983320730486486
1,Deaths,1,Global,2,Female,22,All ages,480,Thyroid cancer,3,Rate,1990,0.5786955793177753,0.6494608110585216,0.527840366279238
1,Deaths,1,Global,2,Female,22,All ages,483,Mesothelioma,3,Rate,1990,0.19132337889719714,0.24515678648319403,0.13650522663305573
1,Deaths,1,Global,2,Female,22,All ages,484,Hodgkin lymphoma,3,Rate,1990,0.38074286201579965,0.43245520230586426,0.26821199763441134
1,Deaths,1,Global,2,Female,22,All ages,485,Non-Hodgkin lymphoma,3,Rate,1990,2.082589740668323,2.2091166250537437,1.9487019095199731
1,Deaths,1,Global,2,Female,22,All ages,486,Multiple myeloma,3,Rate,1990,0.9782069255974271,1.1630219125323944,0.886788642053248
1,Deaths,1,Global,2,Female,22,All ages,423,Larynx cancer,3,Rate,1993,0.434453840195756,0.4618265797429652,0.4036844017130658
1,Deaths,1,Global,2,Female,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,1993,10.923620432730338,11.557601646369013,10.29611398146441
